bairro;idhm_2000;idhm_2010;idhm_logi_2000;idhm_logi_2010;idhm_educ_2000;idhm_educ_2010;renda_2000;renda_2010;;;;;;;;;;;;
SANTANA;0,878487854;0,911785088;0,877072958;0,924451417;0,841417373;0,873425522;2117,02;3621;;;;;;;;;;;;
SANTO ANTONIO;0,835;0,888;0,859;0,915;0,809;0,871;1673,08;2667,3;;;;;;;;;;;;
SAO GERALDO;0,794;0,851;0,85;0,913;0,722;0,787;1281,99;2198,1;;;;;;;;;;;;
SAO JOAO;0,803061425;0,865915842;0,849714668;0,90449615;0,735038741;0,800979098;1609,66;3376,2;;;;;;;;;;;;
SAO JOSE;0,591413931;0,694725668;0,762984806;0,813335417;0,418813326;0,584516643;607,02;1132,2;;;;;;;;;;;;
SAO SEBASTIAO;0,702638708;0,796028926;0,810844201;0,870039059;0,594047718;0,708705234;1547,75;2162,4;;;;;;;;;;;;
SARANDI;0,640321876;0,723377931;0,790613485;0,835385023;0,492860711;0,622064991;665,91;1346,4;;;;;;;;;;;;
SERRARIA;0,522;0,619;0,72;0,765;0,327;0,492;412,23;785,4;;;;;;;;;;;;
TERESOPOLIS;0,786366824;0,821546922;0,846264141;0,881363779;0,720186376;0,754662384;1867,87;2942,7;;;;;;;;;;;;
TRES FIGUEIRAS;0,924;0,958;0,898;0,952;0,879;0,924;5799,91;9011,7;;;;;;;;;;;;
TRISTEZA;0,863;0,925;0,878;0,929;0,802;0,878;2550,39;4814,4;;;;;;;;;;;;
VILA ASSUNCAO;0,874319974;0,928932549;0,879050969;0,931129018;0,826009584;0,890392485;4747,44;5676,3;;;;;;;;;;;;
VILA CONCEICAO;0,731707566;0,822450704;0,812116564;0,873323944;0,62593047;0,749225352;2006,79;4437;;;;;;;;;;;;
VILA IPIRANGA;0,826370057;0,886899322;0,85699662;0,915181554;0,793794863;0,865583405;1380,14;3024,3;;;;;;;;;;;;
VILA JARDIM;0,722810415;0,796328587;0,835450628;0,883920513;0,597783871;0,714696292;1032,84;2014,5;;;;;;;;;;;;
VILA JOAO PESSOA;0,655547821;0,734828152;0,800129895;0,845371764;0,507307808;0,632908756;930,16;1642,2;;;;;;;;;;;;
VILA NOVA;0,665653946;0,761659428;0,806042017;0,861651926;0,520242206;0,66779946;924,12;1688,1;;;;;;;;;;;;
